file_path,status_code,tracked_by_git,ignored_by_git,size_bytes,should_commit,should_ignore,action,reason
config/universe.yml, M,True,False,4334,True,False,COMMIT_TRACKED_SMALL_GENERATED_DATA,已跟踪的小型生成数据状态可同步；不包含 parquet/database/cache。
data/curated/missing_data/core_symbol_data_missing.txt, M,True,False,52010,True,False,COMMIT_TRACKED_SMALL_GENERATED_DATA,已跟踪的小型生成数据状态可同步；不包含 parquet/database/cache。
data/curated/missing_data/financials_missing.txt, M,True,False,39710,True,False,COMMIT_TRACKED_SMALL_GENERATED_DATA,已跟踪的小型生成数据状态可同步；不包含 parquet/database/cache。
data/curated/missing_data/industry_members_missing.txt, M,True,False,52010,True,False,COMMIT_TRACKED_SMALL_GENERATED_DATA,已跟踪的小型生成数据状态可同步；不包含 parquet/database/cache。
data/curated/missing_data/market_caps_missing.txt, M,True,False,52010,True,False,COMMIT_TRACKED_SMALL_GENERATED_DATA,已跟踪的小型生成数据状态可同步；不包含 parquet/database/cache。
data/curated/missing_data/price_missing.txt, M,True,False,1340,True,False,COMMIT_TRACKED_SMALL_GENERATED_DATA,已跟踪的小型生成数据状态可同步；不包含 parquet/database/cache。
data/curated/missing_data/st_flags_missing.txt, M,True,False,52010,True,False,COMMIT_TRACKED_SMALL_GENERATED_DATA,已跟踪的小型生成数据状态可同步；不包含 parquet/database/cache。
data/curated/missing_data/valuation_pb_missing.txt, M,True,False,52010,True,False,COMMIT_TRACKED_SMALL_GENERATED_DATA,已跟踪的小型生成数据状态可同步；不包含 parquet/database/cache。
data/curated/missing_data/valuation_pe_ttm_missing.txt, M,True,False,52010,True,False,COMMIT_TRACKED_SMALL_GENERATED_DATA,已跟踪的小型生成数据状态可同步；不包含 parquet/database/cache。
data/curated/universe_history/2026-05-01.json, M,True,False,6023,True,False,COMMIT_TRACKED_SMALL_GENERATED_DATA,已跟踪的小型生成数据状态可同步；不包含 parquet/database/cache。
data_quality/latest.json, M,True,False,2196,True,False,COMMIT_SMALL_AUDIT_STATE,小型 provider/data quality 状态可作为审计证据提交；不得包含 token。
provider_health/latest.json, M,True,False,579,True,False,COMMIT_SMALL_AUDIT_STATE,小型 provider/data quality 状态可作为审计证据提交；不得包含 token。
reports/backtest/audit/stale_report_check.csv, M,True,False,2500,True,False,COMMIT_SMALL_REPORT,小型审计/观察/数据更新报告可提交；超过 1MB 时保留本地。
reports/backtest/audit/stale_report_check.md, M,True,False,2746,True,False,COMMIT_SMALL_REPORT,小型审计/观察/数据更新报告可提交；超过 1MB 时保留本地。
reports/backtest/combined_v2_universe_history/2026-04-06.json, M,True,False,279,True,False,COMMIT_SMALL_REPORT,小型审计/观察/数据更新报告可提交；超过 1MB 时保留本地。
